Sample ID,Grab ID,Profile ID,Sample Number,Collect DateTime,Depth (m),Site Type,Area,Locator,Site,Parameter,Value,Units,QualityId,Lab Qualifier,MDL,RDL,Text Value,Sample Info,Steward Note,Replicates,Replicate Of,Method,Date Analyzed,Data Source
140138,140138,54992,L40447-140,09/06/2006 14:27,1,Large Lakes,Lake Washington,834,Lake Washington Meydenbauer Bay,pH  Field,8,pH,2,,,,,,,,,Hydrolab (02-01-005-002),,KCEL
43017,43017,41143,L56766-44,10/23/2012 09:58:00 AM,1,Large Lakes,Lake Sammamish,611,Lake Sammamish mid-lake north,Silica,4.68,mg/L,2,,0.05,0.1,,,,,,WHITLEDGE 1981,10/24/2012,KCEL
46764,46764,42140,L13867-33,08/05/1998 11:52,6,Large Lakes,Lake Sammamish,612,Lake Sammamish mid-lake central,Temperature,22.7,deg C,2,,,,,,,,,NONE,,KCEL
65534,65534,41983,L52162-58,11/08/2010 11:28,7,Large Lakes,Lake Washington,852,Lake Washington Madison Park,Conductivity  Field,101,umhos/cm,2,,0.5,10,,,,,,HYDROLAB,,KCEL
98738,98738,45640,L31438-10,04/06/2004 9:41,1,Large Lakes,Lake Washington,817,Lake Washington near Thornton Creek,Dissolved Oxygen  Field,11.9,mg/L,2,,0.5,1,,,,,,Hydrolab (02-01-005-002),,KCEL
89213,89213,44230,L50662-27,04/12/2010 12:32,8,Large Lakes,Lake Washington,826,Lake Washington off Sand Point,Temperature,8.85,deg C,2,,,,,,,,,HYDROLAB,,KCEL
17634,,33574,L12638-6,01/14/1998 11:00:00 AM,,Streams and Rivers,North,474,North Creek mouth at Sammamish River Trail,Orthophosphate Phosphorus,0.0412,mg/L,2,,0.002,0.005,,,,,,SM4500-P-F,01/15/1998,KCEL
78790,78790,43452,L65771-12,07/12/2016 8:48,8,Large Lakes,Lake Union/Ship Canal,A522,Lake Union near west shore,Temperature,18.8,deg C,2,,,,,,,,,KCEL SOP# 245,07/12/2016,KCEL
151962,151962,59248,L69377-65,01/08/2018 11:01,21.1,Large Lakes,Lake Washington,826,Lake Washington off Sand Point,Dissolved Oxygen  Field,10.2,mg/L,1,,0.5,1,,,,,,KCEL SOP# 245,01/08/2018,KCEL
136828,136828,53214,7219577,06/05/1972 0:00,1,Marine Intertidal,Central Puget Sound,KSSN05,West Point South Beach,Temperature,14.2,deg C,1,,,,14.2||King County PUG6586 Database/PGT,,,,,none,,KCEL
181349,,77572,L9969-9,12/10/1996 11:05,,Streams and Rivers,Duwamish,307,Duwamish River at South Park Bridge,Nitrite + Nitrate Nitrogen,0.801,mg/L,2,,0.05,0.1,,,,,,SM4500-NO3-F,,KCEL
92504,92504,44301,L63045-17,06/22/2015 01:32:00 PM,45.9,Large Lakes,Lake Washington,826,Lake Washington off Sand Point,Total Suspended Solids,,mg/L,2,<MDL,0.5,1,,,,,,SM2540-D,06/26/2015,KCEL
16050,16050,27565,9113893,11/12/1991 0:00,1,Streams and Rivers,Pipers,KSHZ06,Pipers Creek mouth,Ammonia Nitrogen,,mg/L,2,<MDL,0.01,,.010||King County Nstream Database/B53311,,,,,L,,KCEL
43959,43959,41136,L61344-7,09/30/2014 11:52:00 AM,10.5,Large Lakes,Lake Sammamish,611,Lake Sammamish mid-lake north,Dissolved Oxygen Saturation  Field,71,%,2,,,,,,,,,HYDROLAB,09/30/2014,KCEL
182017,,78089,L15994-12,08/10/1999 13:35,,Streams and Rivers,Duwamish,305,Duwamish at Spokane St Bridge,E. coli,77,CFU/100ml,2,,,,,,,,,METRO MC SOP 6.5.1,08/11/1999,KCEL
23772,,40459,L22470-7,11/14/2001 12:15:00 PM,,Streams and Rivers,Newaukum,322,Newaukum Creek mouth at 212th Way SE,pH  Field,7.3,pH,2,,,,,,,,,NONE,,KCEL
